sample,frame_id,image_path,mask_path,split
training,frame_0016,processed_data/training/images/frame_0016.png,processed_data/training/masks/frame_0016.png,train
LizaMutant38,frame_0004,processed_data/LizaMutant38/images/frame_0004.png,processed_data/LizaMutant38/masks/frame_0004.png,train
training,frame_0007,processed_data/training/images/frame_0007.png,processed_data/training/masks/frame_0007.png,train
MattLines_7,frame_0011,processed_data/MattLines_7/images/frame_0011.png,processed_data/MattLines_7/masks/frame_0011.png,train
MattLines_7,frame_0003,processed_data/MattLines_7/images/frame_0003.png,processed_data/MattLines_7/masks/frame_0003.png,train
training,frame_0022,processed_data/training/images/frame_0022.png,processed_data/training/masks/frame_0022.png,train
MattLines_7,frame_0004,processed_data/MattLines_7/images/frame_0004.png,processed_data/MattLines_7/masks/frame_0004.png,train
training,frame_0021,processed_data/training/images/frame_0021.png,processed_data/training/masks/frame_0021.png,train
MattLines27,frame_0004,processed_data/MattLines27/images/frame_0004.png,processed_data/MattLines27/masks/frame_0004.png,train
MattLines_1,frame_0007,processed_data/MattLines_1/images/frame_0007.png,processed_data/MattLines_1/masks/frame_0007.png,train
MattLines_1,frame_0010,processed_data/MattLines_1/images/frame_0010.png,processed_data/MattLines_1/masks/frame_0010.png,train
MattLines_7,frame_0014,processed_data/MattLines_7/images/frame_0014.png,processed_data/MattLines_7/masks/frame_0014.png,train
MattLines_1,frame_0006,processed_data/MattLines_1/images/frame_0006.png,processed_data/MattLines_1/masks/frame_0006.png,train
training,frame_0019,processed_data/training/images/frame_0019.png,processed_data/training/masks/frame_0019.png,train
training,frame_0001,processed_data/training/images/frame_0001.png,processed_data/training/masks/frame_0001.png,train
training,frame_0015,processed_data/training/images/frame_0015.png,processed_data/training/masks/frame_0015.png,train
MattLines_7,frame_0009,processed_data/MattLines_7/images/frame_0009.png,processed_data/MattLines_7/masks/frame_0009.png,train
training,frame_0024,processed_data/training/images/frame_0024.png,processed_data/training/masks/frame_0024.png,train
LizaMutant38,frame_0000,processed_data/LizaMutant38/images/frame_0000.png,processed_data/LizaMutant38/masks/frame_0000.png,train
MattLines_1,frame_0016,processed_data/MattLines_1/images/frame_0016.png,processed_data/MattLines_1/masks/frame_0016.png,train
MattLines_7,frame_0005,processed_data/MattLines_7/images/frame_0005.png,processed_data/MattLines_7/masks/frame_0005.png,train
MattLines_1,frame_0012,processed_data/MattLines_1/images/frame_0012.png,processed_data/MattLines_1/masks/frame_0012.png,train
training,frame_0017,processed_data/training/images/frame_0017.png,processed_data/training/masks/frame_0017.png,train
MattLines_7,frame_0010,processed_data/MattLines_7/images/frame_0010.png,processed_data/MattLines_7/masks/frame_0010.png,train
training,frame_0011,processed_data/training/images/frame_0011.png,processed_data/training/masks/frame_0011.png,train
MattLines_7,frame_0001,processed_data/MattLines_7/images/frame_0001.png,processed_data/MattLines_7/masks/frame_0001.png,train
LizaMutant38,frame_0019,processed_data/LizaMutant38/images/frame_0019.png,processed_data/LizaMutant38/masks/frame_0019.png,train
training,frame_0002,processed_data/training/images/frame_0002.png,processed_data/training/masks/frame_0002.png,train
LizaMutant38,frame_0018,processed_data/LizaMutant38/images/frame_0018.png,processed_data/LizaMutant38/masks/frame_0018.png,train
MattLines_1,frame_0001,processed_data/MattLines_1/images/frame_0001.png,processed_data/MattLines_1/masks/frame_0001.png,train
MattLines_7,frame_0015,processed_data/MattLines_7/images/frame_0015.png,processed_data/MattLines_7/masks/frame_0015.png,train
LizaMutant38,frame_0040,processed_data/LizaMutant38/images/frame_0040.png,processed_data/LizaMutant38/masks/frame_0040.png,train
MattLines_7,frame_0002,processed_data/MattLines_7/images/frame_0002.png,processed_data/MattLines_7/masks/frame_0002.png,train
training,frame_0025,processed_data/training/images/frame_0025.png,processed_data/training/masks/frame_0025.png,train
training,frame_0005,processed_data/training/images/frame_0005.png,processed_data/training/masks/frame_0005.png,train
MattLines_1,frame_0003,processed_data/MattLines_1/images/frame_0003.png,processed_data/MattLines_1/masks/frame_0003.png,train
MattLines_1,frame_0000,processed_data/MattLines_1/images/frame_0000.png,processed_data/MattLines_1/masks/frame_0000.png,train
MattLines27,frame_0016,processed_data/MattLines27/images/frame_0016.png,processed_data/MattLines27/masks/frame_0016.png,train
training,frame_0013,processed_data/training/images/frame_0013.png,processed_data/training/masks/frame_0013.png,train
training,frame_0014,processed_data/training/images/frame_0014.png,processed_data/training/masks/frame_0014.png,train
MattLines_1,frame_0009,processed_data/MattLines_1/images/frame_0009.png,processed_data/MattLines_1/masks/frame_0009.png,train
MattLines_1,frame_0014,processed_data/MattLines_1/images/frame_0014.png,processed_data/MattLines_1/masks/frame_0014.png,train
MattLines_7,frame_0006,processed_data/MattLines_7/images/frame_0006.png,processed_data/MattLines_7/masks/frame_0006.png,train
MattLines_7,frame_0008,processed_data/MattLines_7/images/frame_0008.png,processed_data/MattLines_7/masks/frame_0008.png,train
MattLines_7,frame_0016,processed_data/MattLines_7/images/frame_0016.png,processed_data/MattLines_7/masks/frame_0016.png,train
MattLines_1,frame_0013,processed_data/MattLines_1/images/frame_0013.png,processed_data/MattLines_1/masks/frame_0013.png,train
LizaMutant38,frame_0002,processed_data/LizaMutant38/images/frame_0002.png,processed_data/LizaMutant38/masks/frame_0002.png,train
MattLines_7,frame_0013,processed_data/MattLines_7/images/frame_0013.png,processed_data/MattLines_7/masks/frame_0013.png,train
training,frame_0008,processed_data/training/images/frame_0008.png,processed_data/training/masks/frame_0008.png,train
LizaMutant38,frame_0022,processed_data/LizaMutant38/images/frame_0022.png,processed_data/LizaMutant38/masks/frame_0022.png,train
MattLines_1,frame_0015,processed_data/MattLines_1/images/frame_0015.png,processed_data/MattLines_1/masks/frame_0015.png,train
MattLines_7,frame_0000,processed_data/MattLines_7/images/frame_0000.png,processed_data/MattLines_7/masks/frame_0000.png,val
training,frame_0023,processed_data/training/images/frame_0023.png,processed_data/training/masks/frame_0023.png,val
training,frame_0009,processed_data/training/images/frame_0009.png,processed_data/training/masks/frame_0009.png,val
training,frame_0020,processed_data/training/images/frame_0020.png,processed_data/training/masks/frame_0020.png,val
MattLines_7,frame_0007,processed_data/MattLines_7/images/frame_0007.png,processed_data/MattLines_7/masks/frame_0007.png,val
MattLines_1,frame_0011,processed_data/MattLines_1/images/frame_0011.png,processed_data/MattLines_1/masks/frame_0011.png,val
MattLines_1,frame_0004,processed_data/MattLines_1/images/frame_0004.png,processed_data/MattLines_1/masks/frame_0004.png,val
LizaMutant38,frame_0001,processed_data/LizaMutant38/images/frame_0001.png,processed_data/LizaMutant38/masks/frame_0001.png,val
training,frame_0003,processed_data/training/images/frame_0003.png,processed_data/training/masks/frame_0003.png,val
MattLines27,frame_0015,processed_data/MattLines27/images/frame_0015.png,processed_data/MattLines27/masks/frame_0015.png,val
training,frame_0006,processed_data/training/images/frame_0006.png,processed_data/training/masks/frame_0006.png,val
training,frame_0004,processed_data/training/images/frame_0004.png,processed_data/training/masks/frame_0004.png,test
LizaMutant38,frame_0003,processed_data/LizaMutant38/images/frame_0003.png,processed_data/LizaMutant38/masks/frame_0003.png,test
training,frame_0018,processed_data/training/images/frame_0018.png,processed_data/training/masks/frame_0018.png,test
training,frame_0000,processed_data/training/images/frame_0000.png,processed_data/training/masks/frame_0000.png,test
MattLines_1,frame_0002,processed_data/MattLines_1/images/frame_0002.png,processed_data/MattLines_1/masks/frame_0002.png,test
MattLines27,frame_0040,processed_data/MattLines27/images/frame_0040.png,processed_data/MattLines27/masks/frame_0040.png,test
training,frame_0010,processed_data/training/images/frame_0010.png,processed_data/training/masks/frame_0010.png,test
MattLines_1,frame_0008,processed_data/MattLines_1/images/frame_0008.png,processed_data/MattLines_1/masks/frame_0008.png,test
training,frame_0012,processed_data/training/images/frame_0012.png,processed_data/training/masks/frame_0012.png,test
MattLines_7,frame_0012,processed_data/MattLines_7/images/frame_0012.png,processed_data/MattLines_7/masks/frame_0012.png,test
LizaMutant38,frame_0005,processed_data/LizaMutant38/images/frame_0005.png,processed_data/LizaMutant38/masks/frame_0005.png,test
MattLines_1,frame_0005,processed_data/MattLines_1/images/frame_0005.png,processed_data/MattLines_1/masks/frame_0005.png,test
